s_m110_fxqk 	 0.518 	 0.726 	 0.208 
s_m110_fxqm 	 0.105 	 0.459 	 0.354 
s_m110_fxqn 	 0.201 	 0.545 	 0.344 
s_m110_fxqs 	 0.389 	 0.709 	 0.320 
s_m110_fxqt 	 0.740 	 0.958 	 0.219 
s_m110_fxr 	 0.360 	 0.725 	 0.366 
s_m110_fxrd 	 0.469 	 0.785 	 0.317 
s_m110_fxrm 	 0.514 	 0.755 	 0.241 
s_m110_fxrs 	 0.602 	 0.792 	 0.190 
s_m110_fxrt 	 0.285 	 0.522 	 0.238 
s_m110_fxu 	 0.472 	 0.724 	 0.252 
s_m110_fxul 	 0.391 	 0.676 	 0.285 
s_m110_fxut 	 0.442 	 0.596 	 0.155 
s_m110_fxw 	 0.875 	 1.250 	 0.376 
s_m110_fxwn 	 0.626 	 0.952 	 0.325 
s_m110_fxy 	 0.382 	 0.906 	 0.523 
s_m110_fxyd 	 0.915 	 1.283 	 0.368 
s_m110_fxyn 	 0.839 	 1.174 	 0.336 
s_m110_fxyt 	 0.664 	 0.880 	 0.216 
s_m110_fxyv 	 0.723 	 1.123 	 0.400 
s_m110_fyu 	 0.312 	 0.822 	 0.509 
s_m110_ga 	 0.323 	 0.705 	 0.382 
s_m110_gad 	 0.164 	 0.557 	 0.394 
s_m110_gar 	 0.192 	 0.634 	 0.442 
s_m110_gat 	 0.568 	 0.856 	 0.288 
s_m110_gaxs 	 0.318 	 0.657 	 0.339 
s_m110_gc 	 0.206 	 0.651 	 0.445 
s_m110_gcl 	 0.368 	 0.721 	 0.354 
s_m110_gcn 	 0.398 	 0.719 	 0.321 
s_m110_ge 	 0.502 	 0.885 	 0.383 
s_m110_gem 	 0.533 	 0.853 	 0.319 
s_m110_gen 	 0.552 	 0.898 	 0.346 
s_m110_gev 	 0.237 	 0.670 	 0.433 
s_m110_gi 	 0.589 	 0.949 	 0.360 
s_m110_gli 	 0.599 	 1.101 	 0.502 
s_m110_glxe 	 0.135 	 0.544 	 0.408 
s_m110_glxi 	 0.361 	 0.812 	 0.451 
s_m110_glxq 	 0.374 	 0.851 	 0.477 
s_m110_glxr 	 0.128 	 0.652 	 0.524 
s_m110_go 	 0.245 	 0.619 	 0.374 
s_m110_gol 	 0.348 	 0.656 	 0.307 
s_m110_gos 	 0.518 	 0.786 	 0.267 
s_m110_goz 	 0.394 	 0.924 	 0.530 
s_m110_gre 	 0.338 	 0.838 	 0.500 
s_m110_gri 	 0.444 	 0.969 	 0.524 
s_m110_gro 	 0.400 	 0.861 	 0.461 
s_m110_gru 	 0.450 	 0.851 	 0.401 
s_m110_grxe 	 0.280 	 0.632 	 0.352 
s_m110_grxi 	 0.264 	 0.593 	 0.329 
s_m110_grxq 	 0.594 	 1.004 	 0.410 
s_m110_grxw 	 0.775 	 1.248 	 0.474 
s_m110_gu 	 0.567 	 0.923 	 0.356 
s_m110_gxa 	 0.874 	 1.228 	 0.354 
s_m110_gxal 	 0.237 	 0.629 	 0.392 
s_m110_gxan 	 0.406 	 0.674 	 0.267 
s_m110_gxe 	 0.784 	 1.075 	 0.290 
s_m110_gxen 	 0.581 	 0.824 	 0.243 
s_m110_gxes 	 0.456 	 0.704 	 0.248 
s_m110_gxet 	 0.372 	 0.546 	 0.174 
s_m110_gxi 	 0.894 	 1.162 	 0.268 
s_m110_gxif 	 0.286 	 0.498 	 0.212 
s_m110_gxil 	 0.948 	 1.286 	 0.338 
s_m110_gxin 	 0.291 	 0.546 	 0.255 
s_m110_gxis 	 0.701 	 0.899 	 0.199 
s_m110_gxit 	 0.806 	 0.982 	 0.176 
s_m110_gxiv 	 0.628 	 0.939 	 0.311 
s_m110_gxixg 	 0.465 	 0.682 	 0.218 
s_m110_gxo 	 0.436 	 0.820 	 0.384 
s_m110_gxq 	 0.483 	 0.782 	 0.299 
s_m110_gxqn 	 0.334 	 0.621 	 0.287 
s_m110_gxqs 	 0.286 	 0.684 	 0.398 
s_m110_gxqxg 	 0.142 	 0.541 	 0.398 
s_m110_gxr 	 0.414 	 0.758 	 0.344 
s_m110_gxrl 	 0.705 	 1.064 	 0.359 
s_m110_gxu 	 0.654 	 0.914 	 0.260 
s_m110_gxud 	 0.983 	 1.244 	 0.261 
s_m110_gxw 	 0.331 	 0.822 	 0.491 
s_m110_gxy 	 0.337 	 0.721 	 0.384 
s_m110_gxyd 	 0.357 	 0.750 	 0.393 
